dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,pct_students_tested,academic_tier_rating,sat_avg_total_score,sat_sum_total_score
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,,,,,78,4,,0
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,,,,78,3,,0
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467,85,1,477,1431
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,92,3,421,1262
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,92,2,375,1124
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,78,1,360,1079
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376,,1,395,1184
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,85,2,438,1313
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,85,,384,1153
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476,,,491,1473
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439,92,1,450,1350
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370,,,382,1145
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,92,2,542,1627
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,78,4,451,1352
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387,85,2,395,1185
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,85,3,364,1091
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,78,2,339,1018
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311,78,4,331,993
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,78,,343,1028
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,92,1,399,1196
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,85,,427,1280
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,85,1,406,1219
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,85,4,413,1240
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,78,1,317,951
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,78,,554,1663
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,92,4,401,1203
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,,,,,92,3,,0
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,78,2,404,1211
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,,3,392,1177
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,92,4,355,1064
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,92,2,391,1174
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,,,443,1330
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,,4,423,1270
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,92,3,455,1364
24Q744,VOYAGES PREPARATORY,,,,,85,,,0
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,78,3,465,1396
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,,1,350,1049
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,,1,424,1271
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,,3,480,1441
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,78,2,414,1243
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,85,1,405,1216
25Q467,FLUSHING YABC,9,378,373,344,78,4,365,1095
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,78,1,637,1910
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,,2,389,1168
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,92,2,443,1330
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,78,1,392,1177
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,78,4,505,1514
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,,1,491,1474
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,78,3,391,1172
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,,4,483,1449
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,85,4,426,1279
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,85,3,382,1145
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,78,2,417,1252
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,85,4,385,1156
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,,4,422,1265
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,92,,365,1094
27Q323,SCHOLARS' ACADEMY,89,499,537,496,78,3,511,1532
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360,78,4,369,1108
27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354,,1,378,1134
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368,78,4,385,1154
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,92,1,397,1192
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,85,3,448,1345
28Q284,YORK EARLY COLLEGE ACADEMY,,,,,78,4,,0
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400,78,4,422,1265
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,,,,,92,1,,0
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367,92,4,393,1178
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425,78,2,436,1307
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,78,1,469,1407
28Q470,JAMAICA HIGH SCHOOL,90,342,,353,92,3,348,695
28Q505,HILLCREST HIGH SCHOOL,462,395,413,386,85,2,398,1194
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442,85,2,457,1372
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,85,1,513,1538
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,,,,,78,3,,0
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596,92,2,623,1868
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384,,4,399,1196
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432,92,1,439,1316
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359,85,,366,1099
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375,92,1,391,1173
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,85,,401,1202
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424,92,2,429,1287
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,,363,85,3,366,733
29Q326,CAMBRIA HEIGHTS ACADEMY,,,,,78,,,0
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394,92,,407,1220
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377,85,,380,1139
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359,,3,384,1152
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377,78,,384,1151
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,,,,78,2,,0
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405,78,4,418,1255
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,85,4,425,1275
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,92,3,406,1218
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494,92,2,498,1494
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398,,4,413,1239
30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329,78,2,376,1127
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,,4,490,1470
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,78,3,545,1636
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,92,4,451,1353
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,92,1,398,1195
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,,1,475,1426
31R440,NEW DORP HIGH SCHOOL,391,424,437,416,92,1,426,1277
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,,3,426,1279
31R450,CURTIS HIGH SCHOOL,375,437,435,429,92,4,434,1301
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,92,,473,1418
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,,2,463,1388
31R470,CONCORD HIGH SCHOOL,10,466,455,414,,3,445,1335
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,85,3,412,1235
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636,,2,651,1953
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370,78,1,383,1150
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352,92,,366,1098
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361,85,3,385,1154
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,85,3,345,1035
32K552,ACADEMY OF URBAN PLANNING,67,342,364,354,92,3,353,1060
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422,,2,438,1315
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350,92,2,352,1055
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,92,4,345,1034
75K371,P.S. 371 s LILLIAN L. RASHKIS,,,,,85,1,,0
75M035,P.S. 035,,,,,,4,,0
75Q256,P.S. Q256,,,,,85,1,,0
75Q811,P.S. Q811,32,429,444,433,78,1,435,1306
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,,,,,78,1,,0
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,,,,,92,1,,0
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,,,,,,4,,0
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,,,,,85,1,,0
79Q950,GED PLUS s CITYWIDE,8,496,400,426,92,2,441,1322
79X490,PHOENIX ACADEMY,9,367,370,360,85,,366,1097
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341,92,4,345,1035
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,,,396,1189
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,92,1,397,1192
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,92,,363,1090
19K420,FRANKLIN K. LANE HIGH SCHOOL,,,,,78,3,,0
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388,92,1,389,1166
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,92,2,413,1240
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441,85,,453,1360
02M419,LANDMARK HIGH SCHOOL,62,390,399,381,78,2,390,1170
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,78,2,403,1210
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,92,1,397,1192
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,,,396,1189
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,78,2,403,1210
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,92,2,413,1240
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,92,,363,1090
